City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
462,Nouadhibou,MR,77.0,sand,20.931,-17.0347,El Medina
464,Christchurch,NZ,57.0,few clouds,-43.5333,172.6333,The George
469,Ukiah,US,63.0,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
470,Richards Bay,ZA,74.14,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
472,Toamasina,MG,84.2,light rain,-18.1667,49.3833,Hotel H1
474,Pyapon,MM,67.33,few clouds,16.2833,95.6833,Aung Naing Thu Motel
475,Mwingi,KE,68.92,overcast clouds,-0.9344,38.0601,Thorn Tree by The Address
477,Trinidad,BO,87.8,light rain,-14.8333,-64.9,Hotel Piesta
479,Bullhead City,US,66.0,few clouds,35.1478,-114.5683,Harrah's Laughlin
480,Monrovia,LR,87.8,few clouds,6.3005,-10.7969,Sunset Inn
481,Hambantota,LK,76.98,overcast clouds,6.1241,81.1185,Bungalow 63
482,Innisfail,AU,77.25,light rain,-17.5333,146.0333,Moondarra Motel
484,Arlit,NE,73.38,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
485,Alofi,NU,80.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
486,Gulu,UG,76.39,scattered clouds,2.7746,32.299,ACHOLI INN
487,Ambilobe,MG,76.32,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
492,Cabo San Lucas,MX,78.01,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
494,Petauke,ZM,70.23,moderate rain,-14.2426,31.3253,Newline Lodge
496,Manokwari,ID,78.76,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
498,Sharjah,AE,71.6,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
500,Khiri Mat,TH,80.01,overcast clouds,16.8333,99.8,ปั้นดินรีสอร์ท สุโขทัย
504,Gwadar,PK,69.06,clear sky,25.1216,62.3254,Sadaf Resort
507,San Vicente,AR,71.28,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
510,Mana,GF,81.3,broken clouds,5.6592,-53.7767,LE SAMANA
515,Chicama,PE,69.8,clear sky,-7.8447,-79.1469,Balihai Bungalows
520,Tres Passos,BR,81.0,overcast clouds,-27.4556,-53.9319,Hotel Imperial
522,Nuevo Ideal,MX,58.91,clear sky,24.8875,-105.0728,Hotel Las Águilas
524,Saint-Leu,RE,82.4,few clouds,-21.15,55.2833,La Caz Oceane
525,Banjar,ID,78.8,moderate rain,-8.19,114.9675,The Hamsa Resort
526,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
528,Nuzvid,IN,66.61,clear sky,16.7833,80.85,HI-TECH LODGE
529,Makakilo City,US,69.8,moderate rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
530,Biak,ID,76.03,light rain,-0.9131,122.8766,Penginapan Kim
531,Samarai,PG,82.99,scattered clouds,-10.6167,150.6667,Nuli Sapi
532,San Vicente De Canete,PE,76.1,broken clouds,-13.0751,-76.3835,Hotel Konford
536,Telemaco Borba,BR,68.4,light rain,-24.3239,-50.6156,Vespasiano Hotel Telêmaco Borba
537,Dwarka,IN,69.93,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
540,Khilchipur,IN,69.28,few clouds,24.0333,76.5667,Hotel Uday Palace
543,Resistencia,AR,80.01,light rain,-27.4606,-58.9839,Niyat Urban Hotel
545,Lorengau,PG,82.56,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
546,Suez,EG,58.1,broken clouds,29.9737,32.5263,Green House
547,Acapulco,MX,84.2,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
549,Umm Lajj,SA,69.98,scattered clouds,25.0213,37.2685,Moon light Furnished Units
550,Coruripe,BR,83.26,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
552,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
553,Jaumave,MX,66.2,clear sky,23.4167,-99.3833,HOTEL CIENEGA
554,Doha,QA,69.8,clear sky,25.2867,51.5333,Movenpick Hotel Doha
555,Kaura Namoda,NG,77.59,clear sky,12.5898,6.5779,Moonlight Hotel
557,La Union,PE,89.13,broken clouds,-5.4,-80.75,Los Portales
558,Tahta,EG,62.6,clear sky,26.7693,31.5021,shady waheed
559,Azacualpa,HN,75.2,broken clouds,15.3433,-88.5514,Guevara
564,Marawi,PH,75.99,overcast clouds,7.9986,124.2928,Derogongan Residence
565,Sur,OM,67.62,clear sky,22.5667,59.5289,Sur Plaza Hotel
566,Junagarh,IN,60.62,clear sky,19.8667,82.9333,Hotel Swagat
569,Los Llanos De Aridane,ES,66.2,broken clouds,28.6585,-17.9182,Valle Aridane
570,Payo,ID,73.22,overcast clouds,-3.7508,103.6372,Mess keban agung
571,Popondetta,PG,74.25,moderate rain,-8.7537,148.2534,Timos Transit House
575,Ponta Delgada,PT,62.01,broken clouds,37.7333,-25.6667,Vila Nova Hotel
576,Natal,BR,86.0,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
579,Mangrol,IN,68.68,clear sky,21.1167,70.1167,Hotel The Royal Honours
580,Ormara,PK,70.05,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
583,Tandalti,SD,78.19,broken clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
584,Vila Do Maio,CV,78.8,clear sky,15.1333,-23.2167,Hotel Marilu
589,Tocopilla,CL,72.72,scattered clouds,-22.092,-70.1979,Hotel Galvarino
591,Bundaberg,AU,77.0,broken clouds,-24.85,152.35,Takalvan Motel
592,Biltine,TD,70.84,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
594,The Valley,AI,84.2,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
599,Saurimo,AO,68.4,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
600,Viedma,AR,78.01,clear sky,-40.8135,-62.9967,Hotel Cristal
604,Puerto Escondido,MX,80.6,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
